Date,Median_Price
25-09-2024,1200.6
25-09-2024,1334
25-09-2024,1334
25-09-2024,1200.6
25-09-2024,1200.6
25-09-2024,1334
25-09-2024,1334
26-09-2024,1334
26-09-2024,1334
26-09-2024,1267.3
26-09-2024,1334
26-09-2024,1334
26-09-2024,1334
26-09-2024,1334
26-09-2024,1334
26-09-2024,1334
26-09-2024,1334
26-09-2024,1334
26-09-2024,1334
26-09-2024,1334
26-09-2024,1334
27-09-2024,1467.4
27-09-2024,1467.4
27-09-2024,1467.4
27-09-2024,1467.4
27-09-2024,1667.5
27-09-2024,1667.5
27-09-2024,1600.8
27-09-2024,1600.8
27-09-2024,1600.8
27-09-2024,1667.5
27-09-2024,1667.5
28-09-2024,1667.5
28-09-2024,1667.5
28-09-2024,1667.5
28-09-2024,1667.5
28-09-2024,1667.5
28-09-2024,1667.5
28-09-2024,1667.5
28-09-2024,1667.5
28-09-2024,1667.5
28-09-2024,1667.5
29-09-2024,1667.5
29-09-2024,1667.5
29-09-2024,1667.5
30-09-2024,1734.2
30-09-2024,1667.5
30-09-2024,1734.2
30-09-2024,1667.5
30-09-2024,1667.5
30-09-2024,1667.5
30-09-2024,1667.5
30-09-2024,1667.5
30-09-2024,1667.5
30-09-2024,1734.2
30-09-2024,1734.2
30-09-2024,1734.2
30-09-2024,1800.9
01-10-2024,1800.9
01-10-2024,1800.9
01-10-2024,1800.9
01-10-2024,1800.9
01-10-2024,1800.9
01-10-2024,1800.9
01-10-2024,1800.9
01-10-2024,1800.9
01-10-2024,1800.9
01-10-2024,1800.9
01-10-2024,1800.9
01-10-2024,1867.6
02-10-2024,2001
02-10-2024,2001
02-10-2024,2001
02-10-2024,2134.4
02-10-2024,2134.4
02-10-2024,2134.4
02-10-2024,2267.8
03-10-2024,2334.5
03-10-2024,2334.5
03-10-2024,2334.5
03-10-2024,2467.9
03-10-2024,2467.9
03-10-2024,2467.9
03-10-2024,2467.9
03-10-2024,2467.9
03-10-2024,2534.6
03-10-2024,2668
03-10-2024,3001.5
03-10-2024,3001.5
04-10-2024,3001.5
04-10-2024,3001.5
04-10-2024,3134.9
04-10-2024,3134.9
04-10-2024,3001.5
04-10-2024,3201.6
04-10-2024,3335
04-10-2024,3335
04-10-2024,3335
04-10-2024,3335
04-10-2024,1067.2
05-10-2024,1000.5
05-10-2024,1067.2
05-10-2024,1133.9
05-10-2024,1133.9
05-10-2024,1000.5
05-10-2024,1000.5
05-10-2024,1200.6
05-10-2024,1334
05-10-2024,1334
05-10-2024,1467.4
05-10-2024,1667.5
06-10-2024,1667.5
06-10-2024,1734.2
06-10-2024,1734.2
06-10-2024,1734.2
06-10-2024,1867.6
06-10-2024,1734.2
06-10-2024,1867.6
06-10-2024,1867.6
07-10-2024,2001
07-10-2024,2001
07-10-2024,2001
07-10-2024,1867.6
07-10-2024,2001
07-10-2024,2001
07-10-2024,2334.5
07-10-2024,3001.5
07-10-2024,3201.6
07-10-2024,933.8
07-10-2024,1334
07-10-2024,1334
10-10-2024,1334
10-10-2024,1467.4
10-10-2024,1467.4
10-10-2024,1467.4
10-10-2024,1467.4
10-10-2024,1467.4
10-10-2024,1467.4
11-10-2024,1534.1
11-10-2024,1534.1
11-10-2024,1534.1
11-10-2024,1534.1
11-10-2024,1600.8
11-10-2024,1667.5
12-10-2024,1667.5
12-10-2024,1800.9
12-10-2024,1867.6
12-10-2024,1867.6
12-10-2024,1867.6
12-10-2024,1867.6
12-10-2024,2001
13-10-2024,2001
13-10-2024,2001
13-10-2024,2001
13-10-2024,2001
13-10-2024,2001
13-10-2024,2001
14-10-2024,2134.4
14-10-2024,2134.4
14-10-2024,2134.4
14-10-2024,2201.1
14-10-2024,2668
14-10-2024,2801.4
14-10-2024,2801.4
14-10-2024,2934.8
14-10-2024,1334
14-10-2024,1600.8
14-10-2024,1600.8
14-10-2024,1600.8
14-10-2024,1600.8
15-10-2024,1600.8
15-10-2024,2134.4
15-10-2024,3201.6
15-10-2024,600.3
15-10-2024,733.7
15-10-2024,867.1
15-10-2024,933.8
15-10-2024,933.8
15-10-2024,1000.5
15-10-2024,1000.5
15-10-2024,1067.2
16-10-2024,1200.6
16-10-2024,1334
16-10-2024,1534.1
16-10-2024,1534.1
16-10-2024,2134.4
16-10-2024,933.8
16-10-2024,933.8
16-10-2024,933.8
16-10-2024,933.8
16-10-2024,933.8
16-10-2024,1000.5
17-10-2024,1000.5
17-10-2024,1000.5
17-10-2024,1000.5
17-10-2024,1000.5
17-10-2024,1000.5
17-10-2024,1000.5
18-10-2024,1067.2
18-10-2024,1067.2
18-10-2024,1067.2
18-10-2024,1067.2
18-10-2024,1067.2
18-10-2024,1133.9
18-10-2024,1133.9
18-10-2024,1133.9
18-10-2024,1133.9
18-10-2024,1133.9
19-10-2024,1133.9
19-10-2024,1133.9
19-10-2024,1133.9
19-10-2024,1133.9
19-10-2024,1133.9
19-10-2024,1133.9
19-10-2024,1133.9
19-10-2024,1133.9
19-10-2024,1133.9
19-10-2024,1133.9
19-10-2024,1200.6
20-10-2024,1200.6
20-10-2024,1200.6
20-10-2024,1200.6
20-10-2024,1200.6
20-10-2024,1200.6
20-10-2024,1200.6
21-10-2024,1334
21-10-2024,1467.4
21-10-2024,1467.4
21-10-2024,1467.4
21-10-2024,1467.4
21-10-2024,1467.4
21-10-2024,1467.4
21-10-2024,1467.4
21-10-2024,1534.1
21-10-2024,1534.1
21-10-2024,1600.8
21-10-2024,1600.8
22-10-2024,1600.8
22-10-2024,1600.8
22-10-2024,1667.5
22-10-2024,1667.5
22-10-2024,1667.5
22-10-2024,1667.5
22-10-2024,1667.5
22-10-2024,1667.5
22-10-2024,1667.5
22-10-2024,1667.5
23-10-2024,1734.2
23-10-2024,1667.5
23-10-2024,1667.5
