Date,Median_Price
04-09-2024,500
04-09-2024,500
04-09-2024,500
04-09-2024,500
04-09-2024,500
04-09-2024,600
04-09-2024,600
04-09-2024,700
05-09-2024,900
05-09-2024,1000
05-09-2024,1200
05-09-2024,1800
05-09-2024,2000
05-09-2024,2000
05-09-2024,2000
05-09-2024,2000
05-09-2024,2100
05-09-2024,2600
05-09-2024,2700
05-09-2024,3200
05-09-2024,500
05-09-2024,500
05-09-2024,600
06-09-2024,600
06-09-2024,600
06-09-2024,800
06-09-2024,1000
06-09-2024,1000
06-09-2024,1200
06-09-2024,1400
06-09-2024,1500
06-09-2024,1700
06-09-2024,1800
06-09-2024,1800
06-09-2024,1900
07-09-2024,2000
07-09-2024,2000
07-09-2024,2200
07-09-2024,2400
07-09-2024,2400
07-09-2024,2600
07-09-2024,2600
07-09-2024,3000
07-09-2024,500
07-09-2024,500
07-09-2024,600
07-09-2024,600
07-09-2024,600
07-09-2024,700
07-09-2024,700
08-09-2024,800
08-09-2024,1000
08-09-2024,1200
08-09-2024,1400
08-09-2024,1600
08-09-2024,1600
08-09-2024,1800
08-09-2024,1800
09-09-2024,2000
09-09-2024,2000
09-09-2024,2200
09-09-2024,2200
09-09-2024,2300
09-09-2024,2500
09-09-2024,2700
09-09-2024,3000
09-09-2024,3800
09-09-2024,1000
09-09-2024,1000
09-09-2024,1000
09-09-2024,1000
09-09-2024,1000
09-09-2024,1200
10-09-2024,1200
10-09-2024,1200
10-09-2024,1200
10-09-2024,1200
10-09-2024,2400
10-09-2024,2500
10-09-2024,2500
10-09-2024,2600
10-09-2024,2600
10-09-2024,3000
10-09-2024,3300
10-09-2024,300
10-09-2024,300
10-09-2024,300
10-09-2024,300
11-09-2024,300
11-09-2024,300
11-09-2024,300
11-09-2024,300
11-09-2024,300
11-09-2024,300
11-09-2024,300
11-09-2024,400
11-09-2024,400
11-09-2024,400
11-09-2024,400
11-09-2024,400
11-09-2024,300
11-09-2024,400
12-09-2024,400
12-09-2024,400
12-09-2024,400
12-09-2024,400
12-09-2024,400
12-09-2024,400
12-09-2024,500
12-09-2024,500
12-09-2024,500
12-09-2024,500
12-09-2024,500
12-09-2024,500
12-09-2024,600
12-09-2024,600
13-09-2024,600
13-09-2024,700
13-09-2024,800
13-09-2024,800
13-09-2024,700
13-09-2024,800
13-09-2024,800
13-09-2024,800
13-09-2024,800
13-09-2024,900
13-09-2024,1000
13-09-2024,1000
14-09-2024,1000
14-09-2024,1000
14-09-2024,1400
14-09-2024,1200
14-09-2024,1200
14-09-2024,1200
14-09-2024,1300
14-09-2024,1200
14-09-2024,1200
14-09-2024,1300
14-09-2024,1200
14-09-2024,1300
15-09-2024,1600
15-09-2024,1500
15-09-2024,1500
15-09-2024,1500
15-09-2024,1500
15-09-2024,1600
15-09-2024,1600
16-09-2024,1700
16-09-2024,1700
16-09-2024,2000
16-09-2024,2300
16-09-2024,2200
16-09-2024,300
16-09-2024,300
16-09-2024,400
16-09-2024,400
16-09-2024,400
16-09-2024,500
16-09-2024,500
16-09-2024,600
16-09-2024,800
17-09-2024,800
17-09-2024,1000
17-09-2024,1600
17-09-2024,2200
17-09-2024,2200
17-09-2024,300
17-09-2024,300
17-09-2024,300
17-09-2024,300
17-09-2024,300
17-09-2024,300
17-09-2024,300
17-09-2024,300
18-09-2024,300
18-09-2024,300
18-09-2024,300
18-09-2024,300
18-09-2024,300
18-09-2024,300
18-09-2024,300
18-09-2024,300
18-09-2024,300
18-09-2024,300
18-09-2024,300
18-09-2024,300
18-09-2024,300
19-09-2024,300
19-09-2024,300
19-09-2024,300
19-09-2024,300
19-09-2024,400
19-09-2024,400
19-09-2024,400
19-09-2024,400
19-09-2024,400
19-09-2024,400
19-09-2024,400
19-09-2024,400
19-09-2024,400
19-09-2024,400
19-09-2024,400
20-09-2024,400
20-09-2024,400
20-09-2024,400
20-09-2024,400
20-09-2024,400
20-09-2024,400
20-09-2024,400
20-09-2024,400
20-09-2024,400
20-09-2024,500
20-09-2024,400
20-09-2024,400
20-09-2024,400
21-09-2024,500
21-09-2024,500
21-09-2024,500
21-09-2024,500
21-09-2024,500
21-09-2024,500
21-09-2024,500
21-09-2024,500
21-09-2024,500
21-09-2024,500
21-09-2024,500
21-09-2024,500
22-09-2024,500
22-09-2024,500
22-09-2024,500
22-09-2024,500
22-09-2024,600
22-09-2024,700
23-09-2024,700
23-09-2024,700
23-09-2024,800
23-09-2024,700
23-09-2024,800
23-09-2024,800
23-09-2024,900
23-09-2024,900
23-09-2024,900
23-09-2024,1000
23-09-2024,1000
23-09-2024,1000
23-09-2024,1000
23-09-2024,1000
23-09-2024,1000
24-09-2024,1000
24-09-2024,1000
24-09-2024,1000
24-09-2024,1000
24-09-2024,1000
