Date,Median_Price
02-11-2024,900
02-11-2024,900
02-11-2024,900
02-11-2024,1000
02-11-2024,1200
02-11-2024,1400
02-11-2024,1400
03-11-2024,1400
03-11-2024,1500
03-11-2024,1500
04-11-2024,1500
04-11-2024,1500
04-11-2024,1600
04-11-2024,1600
04-11-2024,1600
05-11-2024,1600
05-11-2024,1600
05-11-2024,1700
05-11-2024,1600
05-11-2024,1600
06-11-2024,1700
06-11-2024,1700
06-11-2024,1700
06-11-2024,1800
07-11-2024,2000
07-11-2024,2000
07-11-2024,1900
07-11-2024,2000
07-11-2024,2000
08-11-2024,2000
08-11-2024,2000
08-11-2024,2000
08-11-2024,2000
08-11-2024,2000
09-11-2024,2000
09-11-2024,2000
10-11-2024,2200
10-11-2024,2200
11-11-2024,2200
11-11-2024,2300
11-11-2024,2200
11-11-2024,2200
11-11-2024,2200
11-11-2024,2200
11-11-2024,2200
12-11-2024,2200
12-11-2024,2400
12-11-2024,2400
12-11-2024,2500
12-11-2024,2500
12-11-2024,2500
12-11-2024,2500
12-11-2024,2500
13-11-2024,2500
13-11-2024,2500
13-11-2024,2600
13-11-2024,2800
13-11-2024,2800
14-11-2024,2800
14-11-2024,2600
14-11-2024,2700
15-11-2024,2800
15-11-2024,3000
15-11-2024,2700
15-11-2024,2800
16-11-2024,2800
16-11-2024,3000
16-11-2024,3000
16-11-2024,2800
16-11-2024,3000
16-11-2024,3000
17-11-2024,3000
18-11-2024,3000
18-11-2024,3000
18-11-2024,3400
18-11-2024,3500
18-11-2024,1000
18-11-2024,2300
18-11-2024,2500
18-11-2024,2500
19-11-2024,2500
19-11-2024,2500
19-11-2024,2500
19-11-2024,2500
19-11-2024,3500
19-11-2024,3500
19-11-2024,4000
19-11-2024,4000
19-11-2024,4000
20-11-2024,4000
20-11-2024,4000
20-11-2024,4000
20-11-2024,4000
20-11-2024,4000
20-11-2024,5000
20-11-2024,2800
20-11-2024,1600
21-11-2024,1800
21-11-2024,1800
21-11-2024,1800
21-11-2024,2000
21-11-2024,2000
21-11-2024,2200
22-11-2024,2000
22-11-2024,2000
22-11-2024,2200
22-11-2024,2200
22-11-2024,2400
22-11-2024,3600
22-11-2024,1200
22-11-2024,2500
23-11-2024,1500
23-11-2024,1600
23-11-2024,1600
24-11-2024,1700
24-11-2024,1700
25-11-2024,1800
25-11-2024,1800
25-11-2024,1800
25-11-2024,1800
25-11-2024,1800
26-11-2024,2000
26-11-2024,2200
26-11-2024,2200
26-11-2024,2200
26-11-2024,2200
26-11-2024,2300
26-11-2024,2600
26-11-2024,2500
27-11-2024,2600
27-11-2024,2600
27-11-2024,2700
27-11-2024,2700
27-11-2024,2700
27-11-2024,2800
28-11-2024,2700
28-11-2024,2800
28-11-2024,2800
28-11-2024,2800
28-11-2024,2800
28-11-2024,2900
02-12-2024,3200
02-12-2024,3200
02-12-2024,3200
02-12-2024,3400
02-12-2024,3500
03-12-2024,3500
03-12-2024,3600
03-12-2024,3800
03-12-2024,3600
03-12-2024,600
03-12-2024,600
03-12-2024,600
04-12-2024,600
04-12-2024,600
04-12-2024,700
04-12-2024,700
04-12-2024,700
04-12-2024,700
04-12-2024,700
04-12-2024,700
05-12-2024,700
05-12-2024,700
05-12-2024,700
05-12-2024,700
05-12-2024,800
05-12-2024,800
06-12-2024,800
06-12-2024,800
06-12-2024,800
06-12-2024,800
06-12-2024,800
06-12-2024,900
07-12-2024,900
07-12-2024,900
07-12-2024,900
07-12-2024,900
07-12-2024,1000
07-12-2024,1000
07-12-2024,1000
08-12-2024,1000
09-12-2024,1000
09-12-2024,1000
09-12-2024,1000
09-12-2024,1000
09-12-2024,1000
09-12-2024,1200
09-12-2024,1200
10-12-2024,1200
10-12-2024,1200
10-12-2024,1200
10-12-2024,1200
10-12-2024,1400
10-12-2024,1500
11-12-2024,1500
11-12-2024,1400
11-12-2024,1600
11-12-2024,1600
11-12-2024,1600
11-12-2024,1600
12-12-2024,1700
12-12-2024,1700
12-12-2024,1500
12-12-2024,1600
12-12-2024,1700
13-12-2024,1700
13-12-2024,1800
13-12-2024,1800
13-12-2024,1600
13-12-2024,1800
13-12-2024,2000
13-12-2024,1800
14-12-2024,1800
14-12-2024,1800
14-12-2024,2000
14-12-2024,2000
14-12-2024,2000
14-12-2024,2200
15-12-2024,2000
15-12-2024,2000
15-12-2024,2100
15-12-2024,2200
15-12-2024,2200
15-12-2024,2200
16-12-2024,2200
16-12-2024,2200
16-12-2024,2200
16-12-2024,2000
16-12-2024,2200
16-12-2024,2000
16-12-2024,2200
17-12-2024,2500
17-12-2024,2000
17-12-2024,2000
17-12-2024,2000
17-12-2024,2200
17-12-2024,2200
17-12-2024,2400
18-12-2024,2400
18-12-2024,2400
18-12-2024,2500
18-12-2024,2500
18-12-2024,2200
18-12-2024,2400
18-12-2024,2400
19-12-2024,2400
19-12-2024,2500
19-12-2024,3000
19-12-2024,2400
19-12-2024,2400
19-12-2024,2500
20-12-2024,2500
20-12-2024,2600
20-12-2024,2700
20-12-2024,2700
20-12-2024,2800
20-12-2024,2700
20-12-2024,3200
21-12-2024,3200
21-12-2024,3200
21-12-2024,3200
21-12-2024,3200
21-12-2024,1800
21-12-2024,700
22-12-2024,700
22-12-2024,700
22-12-2024,700
22-12-2024,800
23-12-2024,800
23-12-2024,800
23-12-2024,1000
23-12-2024,1000
23-12-2024,1000
23-12-2024,1000
23-12-2024,1000
24-12-2024,1200
24-12-2024,1400
24-12-2024,1400
24-12-2024,1400
24-12-2024,1600
24-12-2024,1600
24-12-2024,1800
24-12-2024,3000
25-12-2024,2600
25-12-2024,3400
25-12-2024,3600
25-12-2024,1500
25-12-2024,1700
26-12-2024,1800
26-12-2024,2000
26-12-2024,2200
26-12-2024,2300
26-12-2024,2500
26-12-2024,2600
27-12-2024,2700
27-12-2024,2800
27-12-2024,2800
27-12-2024,3200
27-12-2024,3200
28-12-2024,3500
28-12-2024,1800
28-12-2024,2500
28-12-2024,2500
29-12-2024,2800
30-12-2024,3000
30-12-2024,1200
30-12-2024,2300
30-12-2024,2500
31-12-2024,2500
31-12-2024,2500
31-12-2024,2700
31-12-2024,2800
01-01-2025,3200
01-01-2025,3500
01-01-2025,3500
01-01-2025,3700
01-01-2025,600
02-01-2025,700
02-01-2025,900
02-01-2025,1000
02-01-2025,1200
03-01-2025,1200
03-01-2025,1200
03-01-2025,1400
03-01-2025,1700
03-01-2025,2000
04-01-2025,2300
04-01-2025,2200
04-01-2025,2200
04-01-2025,2400
04-01-2025,2500
05-01-2025,2600
05-01-2025,2800
06-01-2025,1300
06-01-2025,1500
06-01-2025,1600
06-01-2025,2000
06-01-2025,2100
06-01-2025,2200
07-01-2025,2200
07-01-2025,2400
07-01-2025,2400
07-01-2025,2500
07-01-2025,2700
07-01-2025,2800
07-01-2025,3800
08-01-2025,400
08-01-2025,500
08-01-2025,500
08-01-2025,600
08-01-2025,500
09-01-2025,700
09-01-2025,700
09-01-2025,800
09-01-2025,800
10-01-2025,800
10-01-2025,800
10-01-2025,800
10-01-2025,800
10-01-2025,800
11-01-2025,1000
11-01-2025,1000
11-01-2025,1500
11-01-2025,1600
12-01-2025,3000
13-01-2025,700
13-01-2025,700
13-01-2025,700
13-01-2025,700
14-01-2025,800
14-01-2025,800
15-01-2025,800
15-01-2025,800
16-01-2025,800
16-01-2025,700
16-01-2025,800
17-01-2025,800
17-01-2025,800
17-01-2025,800
17-01-2025,800
18-01-2025,800
18-01-2025,800
18-01-2025,800
18-01-2025,800
19-01-2025,800
20-01-2025,800
20-01-2025,1000
20-01-2025,1000
20-01-2025,1000
21-01-2025,800
21-01-2025,800
21-01-2025,1000
21-01-2025,1000
21-01-2025,1000
22-01-2025,1000
22-01-2025,1000
22-01-2025,1000
22-01-2025,1000
22-01-2025,1000
22-01-2025,1000
23-01-2025,1000
23-01-2025,1000
23-01-2025,1000
24-01-2025,1000
24-01-2025,1000
24-01-2025,1000
24-01-2025,1000
24-01-2025,1000
25-01-2025,1000
25-01-2025,1000
25-01-2025,1000
25-01-2025,1000
26-01-2025,1000
26-01-2025,1000
27-01-2025,1000
27-01-2025,1000
27-01-2025,1200
27-01-2025,1200
27-01-2025,1200
28-01-2025,1200
28-01-2025,1200
28-01-2025,1200
28-01-2025,1200
28-01-2025,1200
29-01-2025,1200
29-01-2025,1200
29-01-2025,1200
29-01-2025,1200
29-01-2025,1200
29-01-2025,1200
30-01-2025,1200
30-01-2025,1200
30-01-2025,1200
30-01-2025,1200
30-01-2025,1200
31-01-2025,1200
31-01-2025,1200
31-01-2025,1500
31-01-2025,1200
31-01-2025,1500
01-02-2025,1500
01-02-2025,1500
01-02-2025,1600
01-02-2025,1600
01-02-2025,1600
02-02-2025,1600
03-02-2025,1800
03-02-2025,2000
03-02-2025,1600
03-02-2025,1600
03-02-2025,2200
04-02-2025,1600
04-02-2025,1600
04-02-2025,1600
