Date,Median_Price
27-09-2024,3300
27-09-2024,3200
27-09-2024,3300
27-09-2024,3400
28-09-2024,3600
28-09-2024,3300
28-09-2024,3400
28-09-2024,3400
28-09-2024,3700
28-09-2024,3500
28-09-2024,3500
28-09-2024,3500
28-09-2024,3600
28-09-2024,3500
29-09-2024,3600
29-09-2024,3700
29-09-2024,3700
29-09-2024,3700
30-09-2024,3600
30-09-2024,3600
30-09-2024,3800
30-09-2024,3800
30-09-2024,3700
30-09-2024,3800
30-09-2024,3600
30-09-2024,3600
30-09-2024,3800
30-09-2024,3800
30-09-2024,3800
30-09-2024,3800
30-09-2024,3800
01-10-2024,3800
01-10-2024,3800
01-10-2024,3900
01-10-2024,3800
01-10-2024,3800
01-10-2024,3800
01-10-2024,4000
01-10-2024,4000
01-10-2024,4000
01-10-2024,4000
01-10-2024,4000
01-10-2024,4000
01-10-2024,4000
02-10-2024,4000
02-10-2024,4000
02-10-2024,4000
02-10-2024,4200
02-10-2024,4400
02-10-2024,4400
02-10-2024,4200
02-10-2024,500
02-10-2024,500
03-10-2024,700
03-10-2024,700
03-10-2024,800
03-10-2024,800
03-10-2024,908
03-10-2024,1000
03-10-2024,1000
03-10-2024,1000
03-10-2024,1200
03-10-2024,1200
03-10-2024,1400
03-10-2024,1200
04-10-2024,1800
04-10-2024,2200
04-10-2024,2300
04-10-2024,2500
04-10-2024,3000
04-10-2024,3000
04-10-2024,2800
04-10-2024,3000
04-10-2024,3000
04-10-2024,3400
04-10-2024,3500
04-10-2024,3500
05-10-2024,4000
05-10-2024,4000
05-10-2024,1800
05-10-2024,400
05-10-2024,400
05-10-2024,500
05-10-2024,500
05-10-2024,500
05-10-2024,500
05-10-2024,500
05-10-2024,500
05-10-2024,500
05-10-2024,600
05-10-2024,600
06-10-2024,700
06-10-2024,800
06-10-2024,800
06-10-2024,800
06-10-2024,1200
06-10-2024,1400
06-10-2024,1400
06-10-2024,1400
06-10-2024,1500
07-10-2024,1800
07-10-2024,2400
07-10-2024,2600
07-10-2024,2800
07-10-2024,3200
07-10-2024,3400
07-10-2024,3500
07-10-2024,3600
07-10-2024,3600
07-10-2024,4000
07-10-2024,4000
07-10-2024,4200
07-10-2024,4200
10-10-2024,4400
10-10-2024,4700
10-10-2024,5400
10-10-2024,4800
10-10-2024,4800
10-10-2024,5000
10-10-2024,5200
10-10-2024,600
11-10-2024,600
11-10-2024,700
11-10-2024,700
11-10-2024,1400
11-10-2024,1800
11-10-2024,3200
11-10-2024,3800
12-10-2024,4200
12-10-2024,900
12-10-2024,1700
12-10-2024,2200
12-10-2024,2800
12-10-2024,2800
12-10-2024,2800
13-10-2024,3200
13-10-2024,3300
13-10-2024,3600
13-10-2024,3800
13-10-2024,3800
13-10-2024,4200
14-10-2024,4200
14-10-2024,800
14-10-2024,900
14-10-2024,900
14-10-2024,900
14-10-2024,900
14-10-2024,900
14-10-2024,900
14-10-2024,900
14-10-2024,900
14-10-2024,900
14-10-2024,900
14-10-2024,900
14-10-2024,900
15-10-2024,1000
15-10-2024,900
15-10-2024,900
15-10-2024,900
15-10-2024,1000
15-10-2024,1000
15-10-2024,1100
15-10-2024,1100
15-10-2024,1100
15-10-2024,1100
15-10-2024,1100
16-10-2024,1200
16-10-2024,1200
16-10-2024,1200
16-10-2024,1200
16-10-2024,1200
16-10-2024,1300
16-10-2024,1300
16-10-2024,1700
16-10-2024,1700
16-10-2024,1800
16-10-2024,1800
16-10-2024,1800
17-10-2024,1800
17-10-2024,1800
17-10-2024,1800
17-10-2024,2000
17-10-2024,2000
17-10-2024,2000
17-10-2024,2000
18-10-2024,2000
18-10-2024,2200
18-10-2024,2200
18-10-2024,2400
18-10-2024,2500
18-10-2024,2600
18-10-2024,2600
18-10-2024,2700
18-10-2024,2700
18-10-2024,2800
19-10-2024,2800
19-10-2024,3000
19-10-2024,3000
19-10-2024,3200
19-10-2024,3200
19-10-2024,3200
19-10-2024,3200
19-10-2024,3200
19-10-2024,3200
19-10-2024,3200
19-10-2024,3200
20-10-2024,3300
20-10-2024,3300
20-10-2024,3300
20-10-2024,3400
20-10-2024,3400
20-10-2024,3400
20-10-2024,3400
21-10-2024,3500
21-10-2024,3500
21-10-2024,3500
21-10-2024,3500
21-10-2024,3800
21-10-2024,3600
21-10-2024,3600
21-10-2024,3500
21-10-2024,3500
21-10-2024,3500
21-10-2024,3500
21-10-2024,3500
22-10-2024,3800
22-10-2024,3800
22-10-2024,3800
22-10-2024,3800
22-10-2024,3800
22-10-2024,3800
22-10-2024,4000
22-10-2024,4000
22-10-2024,4200
22-10-2024,4200
22-10-2024,4200
23-10-2024,4200
23-10-2024,4200
23-10-2024,4000
23-10-2024,4000
23-10-2024,4000
23-10-2024,4200
23-10-2024,4200
23-10-2024,4200
23-10-2024,4200
23-10-2024,4200
23-10-2024,4200
23-10-2024,4200
24-10-2024,4500
24-10-2024,4500
24-10-2024,4500
24-10-2024,4600
24-10-2024,4500
24-10-2024,4500
24-10-2024,4500
24-10-2024,5000
24-10-2024,800
24-10-2024,800
24-10-2024,1000
24-10-2024,1000
24-10-2024,1500
24-10-2024,1700
24-10-2024,1700
24-10-2024,2200
25-10-2024,2500
25-10-2024,2800
25-10-2024,3200
25-10-2024,3200
25-10-2024,3200
25-10-2024,3300
25-10-2024,3200
25-10-2024,3200
25-10-2024,3500
25-10-2024,3500
25-10-2024,3800
25-10-2024,4000
25-10-2024,4000
25-10-2024,4200
26-10-2024,4700
26-10-2024,4800
26-10-2024,400
26-10-2024,400
26-10-2024,400
26-10-2024,400
26-10-2024,400
26-10-2024,500
27-10-2024,500
27-10-2024,500
27-10-2024,600
27-10-2024,700
27-10-2024,700
27-10-2024,800
28-10-2024,1400
28-10-2024,1400
28-10-2024,1400
28-10-2024,1500
28-10-2024,1600
28-10-2024,1500
28-10-2024,1800
28-10-2024,1800
28-10-2024,1800
28-10-2024,2800
28-10-2024,2800
28-10-2024,3000
28-10-2024,3000
